시도,시군구,시설명,주소,전화번호,팩스번호,홈페이지 주소,주차대수,공-사설 구분,허가면적,묘역면적,총매장능력,식당,매점,주차장,유족대기실,장애인편의시설
인천광역시,옹진군,진리공설묘지,인천광역시 옹진군 덕적면 진리 산340,032-899-2333,,,0,공설,850977,378339,49120,미설치,미설치,미설치,미설치,미설치
인천광역시,옹진군,진촌리공설묘지,인천광역시 옹진군 백령면 진촌리 산128-1,032-899-2333,,,0,공설,61992,61992,5700,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,창리공설묘지,인천광역시 강화군 선원면 창리 산84,032-930-3702,,,0,공설,23702,10446,342,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,초지리공설묘지,인천광역시 강화군 길상면 초지리 산20,032-930-3604,,,0,공설,295606,94956,8957,미설치,미설치,설치,미설치,미설치
인천광역시,서구,하늘의문(당하동),인천광역시 서구 당하동 산152,032-564-4131,,,0,사설,14479,14479,50,미설치,미설치,설치,미설치,미설치
인천광역시,서구,하늘의문(마전동),인천광역시 서구 마전동 산164,032-564-4131,,,0,사설,3963,3963,448,미설치,미설치,설치,미설치,미설치
인천광역시,강화군,하도리공설묘지,인천광역시 강화군 송해면 하도리 산13,032-934-4302,,,0,공설,206485,102999,0,미설치,설치,설치,설치,미설치
인천광역시,강화군,하일리공설묘지,인천광역시 강화군 양도면 하일리 산21,032-937-2001,,,0,공설,0,44959,260,미설치,미설치,미설치,미설치,미설치
광주광역시,북구,망월묘지공원,광주광역시 북구 민주로 285 (운정동),062-266-8170,,,0,공설,17020,17020,932,미설치,미설치,설치,미설치,미설치
광주광역시,광주광역시,영락공원묘지,광주광역시 북구 영락공원로 170 (효령동),062-572-4384,,www.cyberyoungrak.or.kr/cms/bbs/dk_content.php?ht_id=cyber_02_6,0,공설,126888,85337,7934,설치,설치,설치,설치,설치
광주광역시,북구,천주교 양산동묘원,광주광역시 북구 양산동  산87-6,062-227-7124,,,0,사설,16386,16386,1057,미설치,미설치,미설치,미설치,미설치
광주광역시,남구,천주교효천공원묘지,광주광역시 남구 임암동 산86-3,062-233-0518,,,5,사설,105156,76303,400,미설치,미설치,설치,미설치,미설치
대전광역시,서구,대전추모공원 가족묘원,대전광역시 서구 상보안윗길 160 (괴곡동),042-602-2500,,www.djsiseol.or.kr/portal/sub040204.asp,418,공설,500616,112000,10482,미설치,설치,설치,설치,설치
대전광역시,동구,천주교산내공원묘원,대전광역시 동구 삼괴동 산9-1,042-630-7732,,,0,사설,557045,266972,14792,미설치,미설치,설치,미설치,미설치
울산광역시,울주군,(재)삼덕공원묘원,"울산광역시 울주군 삼동면 삼덕로 426 (조일리, 삼덕공원관리사무소)",1522-4144,,,0,사설,350000,181126,18800,미설치,설치,설치,설치,미설치
울산광역시,남구,재단법인울산공원묘원,울산광역시 남구 문수로217번길 34 (옥동),052-994-4004,,www.ulsanpark.org/,200,사설,674541,230940,14992,설치,미설치,설치,미설치,미설치
세종특별자치시,세종특별자치시,대전공원묘원,"세종특별자치시 장군면 정동길 31-30 (금암리, 대전공원묘원)",041-856-8851,,,0,사설,184400,17100,5305,설치,설치,설치,미설치,미설치
세종특별자치시,세종특별자치시,세종시공설묘지,세종특별자치시 전동면 전동로 539 (봉대리),044-850-1346,,,0,공설,7788,7788,450,설치,미설치,설치,미설치,미설치
경기도,성남시분당구,(재)분당메모리얼파크,경기도 성남시 분당구 새나리로 79 (야탑동),031-704-6508,031-702-5736,www.bmpark.co.kr,15000,사설,391453,913936,0,설치,설치,설치,미설치,미설치
경기도,용인시처인구,(재)서울공원묘원,"경기도 용인시 처인구 이동면 백자로 41 (서리, 서울공원묘원사무실)",031-332-2444,,scpark.co.kr,0,사설,202150,169072,7000,미설치,미설치,설치,미설치,미설치
경기도,광주시,(재)시안 가족추모공원(매장묘),경기도 광주시 오포안로 17 (문형동),031-766-2894,,www.sianpark.co.kr,1500,사설,6942,6942,320,미설치,미설치,설치,설치,설치
경기도,안산시상록구,(재)안양공원묘원,"경기도 안산시 상록구 오리골길 41 (양상동, 공동묘지관리소)",031-482-2949,,,0,사설,7735,7735,290,미설치,미설치,미설치,미설치,미설치
경기도,남양주시,(재)영락교회공원묘원,"경기도 남양주시 진건읍 사릉로264번길 232 (사능리, 영락동산관리실)",031-573-8123,,,0,사설,562925,281145,60380,설치,설치,설치,설치,설치
경기도,용인시처인구,(재)용인공원(묘지),"경기도 용인시 처인구 모현읍 새래로 158-33 (초부리, 용인공원묘지)",031-334-3484,,www.yongin-park.com,0,사설,1307080,913017,30950,설치,설치,설치,설치,미설치
경기도,고양시일산동구,(재)자하연 일산(묘지),경기도 고양시 일산동구 지영로 36-87 (지영동),031-977-8351,,www.jahayeon.com,100,사설,156933,141788,2514,미설치,미설치,설치,설치,미설치
경기도,광주시,(재)자하연분당(묘지),"경기도 광주시 대명대길 57 (능평동, 판교공원묘지)",031-719-2780,,www.jahayeon.com,200,사설,227935,117160,1000,미설치,미설치,설치,설치,설치
경기도,양평군,(재)자하연팔당(묘지),경기도 양평군 양서면 목왕로688번길 71 (목왕리),031-772-7102,031-719-2739,www.jahayeon.com,60,사설,333886,228230,1000,미설치,미설치,설치,설치,미설치
경기도,포천시,(재)자하연포천(묘지),경기도 포천시 영중면 궁들길 84 (금주리),031-532-6534,,www.jahayeon.com,200,사설,214893,80702,1000,미설치,미설치,설치,설치,미설치
경기도,남양주시,(재)천주교세종로묘원,경기도 남양주시 별내동 산193-1,031-571-8800,,www.sejonglo.org,50,사설,205965,150612,3500,미설치,미설치,설치,설치,미설치
경기도,남양주시,(재)천주교평내공원묘원,경기도 남양주시 평내동 산45-1,02-727-2225,,,0,사설,145768,145768,3500,미설치,미설치,미설치,미설치,미설치
경기도,포천시,(재)하늘나라공원 포천묘원,"경기도 포천시 소흘읍 부흥로 212,2층 (무봉리)",031-542-1302,,www.하늘나라공원.com,4,사설,124068,124068,1116,미설치,미설치,설치,미설치,미설치
경기도,광주시,(재)한남공원묘원,경기도 광주시 매자리길 185-22 (매산동),031-765-0076,,www.hannampark.com,500,사설,187042,300,7465,미설치,미설치,설치,설치,미설치
경기도,양주시,가납리공설묘지,경기도 양주시 광적면 가납리 산14,031-8082-7610,,,0,공설,0,0,0,미설치,미설치,미설치,미설치,미설치
경기도,포천시,가산면 제1공설묘지,경기도 포천시 가산면 감암리 산12,031-538-4311,,,0,공설,0,0,0,미설치,미설치,미설치,미설치,미설치
경기도,포천시,가산면 제2공설묘지,경기도 포천시 가산면 가산리 산72,031-538-4311,,,0,공설,0,0,0,미설치,미설치,미설치,미설치,미설치
경기도,포천시,가산면 제3공설묘지,경기도 포천시 가산면 금현리 740,031-538-4311,,,0,공설,0,0,0,미설치,미설치,미설치,미설치,미설치
경기도,포천시,가산면 제4공설묘지,경기도 포천시 가산면 우금리 산6-1,031-538-4311,,,0,공설,0,0,0,미설치,미설치,미설치,미설치,미설치
경기도,가평군,가평읍 공설묘지(구 제1공설묘지),경기도 가평군 가평읍 상색리 산64-3,031-580-4010,,,0,공설,8608,8608,84,미설치,미설치,미설치,미설치,미설치
경기도,가평군,가평추모공원(구 제2공설묘지),경기도 가평군 가평읍 읍내리 산125,031-580-2583,,,0,공설,0,0,0,미설치,미설치,미설치,미설치,미설치
경기도,양평군,갑산공원묘원,"경기도 양평군 양서면 건지미길 5 (양수리, 갑산공원묘원)",031-774-9348,,www.kapsan1004.net ,300,사설,248252,65095,13074,미설치,미설치,미설치,미설치,미설치
경기도,김포시,고려공원법인묘지,경기도 김포시 감정동 629-21,031-983-8433,,,0,사설,185357,185357,4825,설치,미설치,설치,미설치,미설치
경기도,포천시,관인면 제1공설묘지,경기도 포천시 관인면 사정리 산11,031-538-4661,,,0,공설,2621,2621,2621,미설치,미설치,미설치,미설치,미설치
경기도,포천시,관인면 제2공설묘지,경기도 포천시 관인면 냉정리 산149-1,031-538-4661,,,0,공설,0,0,0,미설치,미설치,미설치,미설치,미설치
경기도,여주시,광대리 공원묘지,경기도 여주시 세종대왕면 광대리 198-18,031-887-2264,,,0,공설,0,0,0,미설치,미설치,미설치,미설치,미설치
경기도,포천시,광릉추모공원(묘지),경기도 포천시 내촌면 부마로 341(마명리),031-532-2520,031-534-3116,www.gmemorialpark.com,200,사설,989761,989761,11310,미설치,미설치,설치,미설치,미설치
경기도,양주시,광사동공설묘지,경기도 양주시 광사동 산137-1,031-8082-7750,,,0,공설,0,0,0,미설치,미설치,미설치,미설치,미설치
경기도,양주시,광석리공설묘지,경기도 양주시 광적면 광석리 산1,031-8082-7610,,,0,공설,0,0,0,미설치,미설치,미설치,미설치,미설치
경기도,광주시,광주공원묘원,경기도 광주시 매자리길 235 (매산동),031-762-0077,,,1500,사설,768079,504140,20000,미설치,미설치,설치,미설치,미설치
