지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
98,동두천,2015-12-27,-6.2,-10.1,2351,-.1,1535,,,,,,,6.8,340,41,4.4,340,44,2,1708,340,-18.2,19,1605,39.3,1.5,1016.3,1033.5,2250,1026,9,1030.6,9.6,8.9,,,,,,,,,,,-3,-11.2,,,,,,,,,,,,,,
98,동두천,2015-12-28,-6.9,-12.8,712,.5,1523,,,,,,,8.1,320,1531,4.7,320,1532,1.4,1212,20,-17.9,16,1531,45,1.5,1019.1,1034.5,2334,1032,1434,1033.4,9.6,8.9,,,,,,,,,,,-4.6,-13.4,,,,,,,,,,,,,,
98,동두천,2015-12-29,-4.4,-11.8,612,3.6,1421,,,,,,,3,250,1321,1.8,140,1401,.7,636,110,-13.7,27,1422,51,2.2,1019.1,1035.1,258,1031.5,1458,1033.3,9.6,7.5,,,,,,,,,,,-3.1,-13,,,,,,,,,,,,,,
98,동두천,2015-12-30,.1,-5.1,645,6.4,1243,,,,,,1.2,7.5,200,1649,4.4,160,1417,1.1,914,250,-5.6,38,1244,67.8,4.2,1014.7,1032,1,1025.9,1555,1028.6,9.6,2,,,,,,,,,,,-.6,-6.7,,,,,,,,,,,,,,
98,동두천,2015-12-31,.6,-3.4,2400,4,1436,,,,,,,4.6,320,743,3.2,320,1013,1,856,320,-2.9,59,1622,77.9,5,1016.7,1033.6,2310,1026.6,13,1030.6,9.6,.8,,,,,,,,,,,.8,-5.3,,,,,,,,,,,,,,
99,파주,2015-12-27,-7.4,-11.7,2355,-1.3,1522,,,,,,,6.3,50,1021,3.8,20,1011,1.4,1185,20,-17.5,23,1327,46.8,1.6,1027.5,1034.1,2320,1026.8,1,1031.3,9.6,8.5,,,,,,,,,,,-4.3,-10.4,,,,,,,,,,,,,,
99,파주,2015-12-28,-8.3,-14.7,718,-.7,1538,,,,,,,6.2,270,1358,3.9,320,1455,1,904,270,-17.3,16,1647,53.6,1.6,1030,1035.3,1036,1032.9,1423,1033.9,9.6,8.6,,,,,,,,,,,-4.5,-12.4,,,,,,,,,,,,,,
99,파주,2015-12-29,-5.5,-13.4,551,2.5,1501,,,,,,,3.8,20,2126,2.4,20,2127,.7,574,20,-13.1,30,1521,58,2.3,1029.8,1035.7,1013,1031.9,2058,1033.6,9.6,7.8,,,,,,,,,,,-2.6,-12.1,,,,,,,,,,,,,,
99,파주,2015-12-30,-.9,-7.6,626,5.1,1502,,,,,,2,6.1,200,1623,3.7,200,1631,1,903,140,-5.6,45,1458,72.6,4.2,1025.1,1032.2,1,1026.2,1529,1028.9,9.6,1.8,,,,,,,,,,,-.4,-6.7,,,,,,,,,,,,,,
99,파주,2015-12-31,-.6,-5.1,2329,4.3,1537,,,,,,,3.9,270,1227,2.2,320,1122,.6,529,140,-3.5,56,1531,81.5,4.8,1027.4,1034,2301,1027.3,12,1031.2,9.6,5.7,,,,,,,,,,,.4,-5.4,,,,,,,,,,,,,,
100,대관령,2015-12-27,-6.5,-9.6,2359,-2.2,1344,,,,,,0,9.8,270,2152,6.7,270,2108,2.8,2377,90,-11.6,41,2142,68.1,2.6,932.6,1031.8,2359,1025,1,1028.6,9.6,8.1,1100,1.79,9.37,,,,,,,,-3.7,-12.7,,,,,,,,,,,,,,
100,대관령,2015-12-28,-9.3,-13.3,746,-5.1,1246,,,,,,,13.1,270,1354,10,270,1405,5.1,4374,270,-22.4,19,1231,35.4,1,934,1034,2358,1028.2,1412,1031.2,9.6,8.8,1200,1.83,10.54,,,,,,,,-7.4,-15.9,,,,,,,,,,,,,,
100,대관령,2015-12-29,-7.6,-13,726,-1.7,1523,,,,,,,9.6,250,1800,6.7,270,51,4.1,3542,270,-20.1,18,1136,38.4,1.3,936.2,1035.6,726,1029.5,1432,1032.9,9.6,7.5,1100,1.64,8.7,,,,,,,,-6.6,-15.8,,,,,,,,,,,,,,
100,대관령,2015-12-30,-5.3,-13.1,752,2.4,1511,,,,,,0,7.1,290,2237,4.7,290,2231,1.6,1376,290,-10.8,32,1634,67.3,2.8,934.7,1035.5,549,1025.9,1508,1030.4,9.6,8.8,1200,1.61,9.14,,,,,,,,-4.3,-15.7,,,,,,,,,,,,,,
100,대관령,2015-12-31,-1.9,-4.8,2354,3.3,1357,,,,,,,11.9,270,2345,8.1,270,2349,3.7,3212,270,-5.9,47,1358,75,4,934.9,1032.9,2309,1026.3,230,1029.4,9.6,5.2,1000,1.41,6.8,,,,,,,,-.9,-6.5,,,,,,,,,,,,,,
101,춘천,2015-12-27,-4.1,-7.9,2353,1.3,1507,,,,,,,6.5,270,1644,3.5,230,1811,1.3,1093,230,-13.5,18,1646,51.9,2.2,1019.8,1033.1,2303,1025.1,1,1029.9,9.6,7.9,1200,1.61,9.12,,,,,,0,0,-.7,-14.4,.2,.4,1.4,2.3,3.8,7.9,10,15.4,16.8,,1.4,,-{박무}-0120.,
101,춘천,2015-12-28,-7.4,-12.8,751,-.1,1505,,,,,,,6.3,270,1556,3.8,270,1603,.9,810,20,-15.8,19,1447,57.8,1.8,1023.1,1035,2356,1031.2,1439,1033.3,9.6,8,1200,1.65,9.3,,,,,,0,0,-2.9,-18.1,-.3,-.2,1,2,3.6,7.7,9.8,15.3,16.8,,1.2,,,
101,춘천,2015-12-29,-6.9,-12.8,737,.4,1457,,,,,,,4.3,160,1510,1.9,20,1634,.6,512,50,-12.6,31,1457,66.6,2.4,1024.1,1036.6,953,1032.2,1502,1034.4,9.6,7.8,1300,1.45,8.18,,,,,,2.3,.4,-3.1,-18.5,-.8,-.5,.6,1.7,3.4,7.6,9.7,15.2,16.7,,.9,,,
101,춘천,2015-12-30,-2.6,-8.8,536,3,1546,4.83,,,,,1.5,3.9,250,1912,2.1,250,1915,.5,469,110,-6.2,46,1420,79.3,4,1020.2,1033.8,247,1027.1,1715,1030.2,9.6,5.1,1200,1.19,6.31,3,2055,3,2055,3,7.3,5.4,-2,-14.4,-.7,-.5,.4,1.5,3.1,7.5,9.6,15.2,16.8,,1.1,1.5,{눈}1845-{눈}{강도0}2100-2335. {박무}1915-{박무}{강도1}2100-{박무}{강도2}2400-,
101,춘천,2015-12-31,.3,-4.2,2355,4.3,1320,,,,,,,5.7,200,1633,2.9,230,1625,.8,685,230,-1.4,60,1354,89.4,5.6,1021.1,1034.5,2354,1027.3,120,1031,9.6,2.8,1200,1.2,5.36,,,3,1,,5.5,5.5,.3,-10.4,-.2,-.2,.4,1.4,3.1,7.5,9.6,15.2,16.8,,.6,,-{박무}-{박무}{강도2}0300-{박무}{강도2}0600-{시정(미만)}{1km}{안개}0815-{시정(이상)}{1km}{박무}0850-{박무}{강도2}0900-{박무}{강도1}1200-1310. {연무}1750-{연무}{강도0}1800-1920. {박무}1915-{박무}{강도1}2100-{박무}{강도2}2400-,.58
102,백령도,2015-12-27,-4.7,-6.3,717,-3.1,2343,10.83,,,,,0,10.7,50,342,5.6,290,2356,3.3,2868,360,-11.1,52,2326,60.9,2.6,1013.9,1034.1,1919,1029,1,1032.7,9.6,3.8,,,,,,,,,7,7,-2.4,-5.8,,,,,,,,,,,,,{눈}0830-{눈}{강도0}0900-{눈}{강도0}1200-{눈}{강도0}1500-{눈}{강도0}1800-1920.,
102,백령도,2015-12-28,-2,-3.5,517,-.8,2127,2.92,,,,,0,10.7,270,242,5.6,290,56,2.6,2266,320,-8.9,50,14,59.4,3.2,1014.9,1034.5,2230,1032.5,1420,1033.5,9.6,1.5,,,,,,,,,5.4,5.4,-1.1,-3.6,,,,,,,,,,,,,{눈}1150-{눈}{강도0}1200-1445.,
102,백령도,2015-12-29,2,-1.3,811,4.9,1535,,,,,,,8.4,110,1129,6.1,110,1159,3.3,2834,110,-4.4,37,1708,63,4.4,1013.4,1034.4,3,1029.9,2113,1031.6,9.6,5.3,,,,,,,,,4.1,3.8,1.2,-2.3,,,,,,,,,,,,,{연무}1740-{연무}{강도0}1800-1850.,
102,백령도,2015-12-30,4.1,2.8,1124,5.8,1450,9.88,,,,,4,11.1,200,1100,8.7,200,1102,3.9,3405,230,-.1,50,1,75.3,6.1,1008.9,1030,1,1024.3,1458,1027,9.6,.1,,,,,,,,,7.8,5.9,3.1,2,,,,,,,,,,,,,{비}0330-{비}{강도0}0600-0755. {비}0840-{비}{강도0}0900-{비}{강도0}1200-1340. {비}1530-1545. {박무}0540-{박무}{강도0}0600-0630. {박무}0920-{박무}{강도0}1200-1410. {연무}1404-{연무}{강도0}1500-1545. {박무}1540-1645. {진눈깨비}2327-2340.,
102,백령도,2015-12-31,2.8,2,2322,4.3,1452,1.05,,,,,0,10.1,290,721,5.4,290,742,3.3,2882,290,-3.9,54,1502,61.3,4.6,1013.2,1033.3,2150,1028.1,42,1031.4,9.6,5.2,,,,,,,,,5.6,5.6,3.3,0,,,,,,,,,,,,,{진눈깨비}0007-0110. {연무}0050-{연무}{강도0}0300-{연무}{강도0}0600-0720.,
104,북강릉,2015-12-27,-.9,-3.3,2059,2.4,15,2.17,,,,,0,8.3,360,18,4.7,320,317,2.3,1965,320,-9.2,16,2355,57.5,3.3,1017.8,1029.4,1853,1023.9,1,1027.9,9.6,3.8,1200,2.08,10.25,,,,,,5,4.5,1.1,-6.4,.8,1.5,3.6,4,4.5,8.2,10.3,14,15.3,,1.3,0,{눈}0745-{눈}{강도0}0900-0955.,
104,북강릉,2015-12-28,-1.5,-4.8,152,7.1,1414,,,,,,,13.8,290,1226,7.1,290,1241,2.4,2045,160,-23.9,2,1053,18.3,1,1018.2,1030.3,2300,1026.7,1338,1028.3,9.6,8.9,1200,2.17,13.61,,,,,,0,0,-1.5,-9.5,-1.2,-.2,2.7,3.3,4.1,8.1,10.2,13.9,15.3,,3.1,,,
104,북강릉,2015-12-29,.4,-5.4,614,6,1508,,,,,,,5.8,290,1704,3.8,160,340,2.1,1806,160,-16.7,12,1101,27.8,1.7,1019.7,1030.9,2337,1028,1426,1029.7,9.6,7,1100,1.59,10.39,,,,,,2.3,0,-1.2,-9.4,-.9,-.6,2,2.6,3.4,7.9,10.1,13.9,15.2,,2.6,,{햇무리}1130-1230.,
104,북강릉,2015-12-30,3.3,-1.4,26,7.5,1347,,,,,,,5.5,90,1340,3.3,180,49,1.9,1659,160,-6.1,30,1422,51.9,3.9,1017.9,1030.7,1,1025.3,2354,1027.9,9.6,8.6,1200,1.89,11.9,,,,,,2.8,1.9,.2,-5.2,.7,-.1,1.8,2.3,3.1,7.7,10,13.8,15.2,,2.1,,,
104,북강릉,2015-12-31,3.3,1,35,6.9,1226,,,,,,,7.9,340,1253,4.5,360,1255,1.7,1458,160,-1.9,38,1024,69.4,5.3,1018.3,1030.3,2235,1025.2,7,1028.2,9.6,5.8,1400,1.69,10.07,,,,,,4.3,4,1.7,-4.3,1.8,.4,1.9,2.3,2.9,7.4,9.9,13.7,15.2,,1.4,,,
105,강릉,2015-12-27,-.3,-2.2,2033,2.8,10,,,,,,,10.5,320,2233,4.8,290,2252,2.6,2235,50,-10.8,15,2333,47.6,2.9,1024.8,1029.7,1859,1024,1,1028.1,9.6,3.1,1200,1.91,7.09,,,,,,,,0,-4.2,3.1,2.9,5,6,6,8.8,11,14.7,15.9,,,,,
105,강릉,2015-12-28,-.8,-3.1,745,3.8,1328,,,,,,,11.5,270,526,6.5,290,1528,4.4,3801,290,-25.5,8,1322,13.6,.8,1025.3,1030.6,2253,1027.3,1333,1028.6,9.6,8.9,1200,1.99,11.36,,,,,,,,-.6,-5.6,1.6,1.2,4.2,5.5,5.6,8.7,11,14.6,15.9,,,,,
105,강릉,2015-12-29,1.2,-2.5,154,6.4,1515,,,,,,,9.3,250,305,5.2,290,438,3.3,2867,320,-21.8,10,950,17,1.1,1026.7,1031,2320,1028.4,1429,1030,9.6,6.9,1100,1.69,8.13,,,,,,,,1.4,-5.9,1.1,.7,3.6,4.8,5,8.5,10.9,14.6,15.9,,,,,
105,강릉,2015-12-30,3.4,-.2,648,8.5,1346,,,,,,,6.5,340,2227,4.7,320,2230,2.7,2317,320,-8.5,29,19,41.6,3.2,1024.8,1030.9,1,1025.6,2358,1028.1,9.6,8.7,1200,1.72,9.59,,,,,,,,3.4,-3.3,2.3,2,3.5,4.5,4.5,8.2,10.8,14.5,15.8,,,,,
105,강릉,2015-12-31,4.3,2.5,731,7.2,1219,,,,,,,9.7,290,2246,6,290,2330,2.3,1980,320,-4.3,37,2320,54.4,4.5,1025.1,1030.5,2130,1025.5,6,1028.4,9.6,7.6,1200,1.87,8.85,,,,,,,,5.1,-1.4,3.5,3.4,4.2,4.8,4.7,8.1,10.7,14.4,15.8,,,,,
106,동해,2015-12-27,.9,-2.5,2258,4.9,1,,,,,,,10,360,1248,7.2,360,1335,2.9,2507,340,-6.2,39,2353,59.1,3.9,1022.4,1029.2,1857,1023.1,1,1027.5,9.6,5.5,,,,,,,,,,,.4,-11.6,,,,,,,,,,,,,,
106,동해,2015-12-28,.9,-2.6,221,4.6,1437,,,,,,,12,270,1137,6.9,270,1110,3.2,2781,270,,3,655,,,1023.1,1030.2,2250,1026.7,1404,1028.2,9.6,8.8,,,,,,,,,,,-2.2,-13.5,,,,,,,,,,,,,,
106,동해,2015-12-29,2.8,-2.6,625,8.6,1535,,,,,,,9.9,230,1754,5.7,290,1735,2.1,1834,230,,,,,,1024.8,1030.8,305,1027.9,1355,1029.9,9.6,6.5,,,,,,,,,,,-1.4,-12.1,,,,,,,,,,,,,,
106,동해,2015-12-30,4.5,0,525,8.9,1336,,,,,,,5.6,230,2126,3.5,230,2127,1.7,1429,230,-6.3,25,1,45.5,3.9,1022.9,1030.6,22,1025.4,2352,1027.9,9.6,8.2,,,,,,,,,,,1.3,-6.8,,,,,,,,,,,,,,
106,동해,2015-12-31,5,1.8,2329,8.2,1248,,,,,,,11.7,360,1436,8.2,360,1444,2.7,2297,320,-1.9,40,1106,61.6,5.4,1023.1,1030.6,2048,1024.9,34,1028.2,9.6,7.6,,,,,,,,,,,1.9,-8.9,,,,,,,,,,,,,,
108,서울,2015-12-27,-5.7,-8.9,751,-1,1505,,,,,,,7.4,20,548,5.2,20,552,2.9,2499,360,-17.7,21,1518,39,1.5,1019.6,1033.7,2248,1026,1,1030.7,9.6,9.2,1200,1.65,9.75,,,,,,0,0,-.6,-10.5,-1,.8,2.7,3.5,5,8.3,10.7,15.9,17.2,,1.2,,,
108,서울,2015-12-28,-5.7,-9.5,631,-1,1558,,,,,,,9.1,70,1054,5.5,70,1103,2.3,2007,70,-18.2,21,1445,38.4,1.5,1022.4,1034.8,1053,1032.6,1540,1033.6,9.6,9.2,1200,1.68,9.78,,,,,,0,0,-2.1,-12.3,-2.4,-.3,1.8,2.7,4.4,8.1,10.6,15.8,17.2,,1.6,,,
108,서울,2015-12-29,-3.2,-8.7,739,2.9,1549,,,,,,,5,90,710,3.2,110,2131,1.4,1247,70,-13,31,1437,47.6,2.3,1022.4,1035.2,933,1032,1539,1033.5,9.6,7.6,1300,1.43,7.16,,,,,,3.8,1.4,-1.8,-13.6,-2.2,-.7,1.2,2.2,4,7.9,10.5,15.8,17.2,,1.3,,{햇무리}1040-1230.,
108,서울,2015-12-30,.3,-3.5,608,4.3,1425,3.75,,,,,2.5,6.4,270,1646,4.1,160,714,2.5,2177,160,-5.6,42,1236,67.6,4.3,1018.1,1032.2,1,1026.3,1550,1029,9.6,3.1,1200,1.23,5.43,,,,,,6.9,5.1,-.3,-6.6,-.6,-.3,1.2,2,3.8,7.7,10.3,15.7,17.2,,.2,2.5,{비}1635-{진눈깨비}1732-{진눈깨비}{강도0}1800-{비}1825-1910. {비}2210-{진눈깨비}2305-2320. {박무}1655-{박무}{강도0}1800-{박무}{강도1}2100-{박무}{강도1}2400-,
108,서울,2015-12-31,.7,-1.9,2358,2.8,1543,,,,,,,5.2,90,348,3.3,20,1020,1.5,1339,50,-2.2,59,1536,81.3,5.2,1020.1,1033.8,2337,1026.9,15,1031,9.6,2.9,1100,.81,3.98,,,,,,5,5,.6,-8.2,.5,0,1.3,1.9,3.8,7.5,10.2,15.6,17.1,,.7,,-{박무}-{박무}{강도1}0300-{박무}{강도1}0600-{박무}{강도0}0900-1140. {연무}1415-{연무}{강도0}1500-{연무}{강도0}1800-1830. {박무}1825-{박무}{강도0}2100-{박무}{강도0}2400-,
112,인천,2015-12-27,-5.7,-8.5,804,-2.8,1617,,,,,,,11,20,13,8,20,142,4.3,3743,20,-15.1,25,1406,48.3,1.9,1021.9,1034,2326,1026.5,8,1031.2,9.6,9.3,1200,1.56,9.01,,,,,,0,0,-1.5,-9.8,1.7,2.2,2.8,3.8,5.5,7.6,10.1,14.2,16.1,,1.6,,,
112,인천,2015-12-28,-4.6,-7.9,318,-1.2,1501,,,,,,,7.5,340,1225,4.6,20,19,2.9,2508,20,-12.7,32,1540,55.3,2.3,1024.5,1035,1046,1032.9,1405,1033.8,9.6,9,1200,1.55,8.64,,,,,,0,0,-2,-10.4,.9,1.4,2,3,5,7.6,10.1,14.2,16.2,,1.7,,,
112,인천,2015-12-29,-1.7,-6,742,2.6,1434,,,,,,,5.7,50,41,4.5,20,216,2.2,1873,160,-9.1,41,1131,57.6,3.2,1024.3,1035.3,259,1031.8,2020,1033.5,9.6,7.3,1300,1.23,6.31,,,,,,3.4,1.3,-1.2,-9.9,.6,1,1.6,2.6,4.5,7.2,9.9,14,16,,1.2,,,
112,인천,2015-12-30,2.1,-.7,202,5.2,1355,7.87,,,,,1.5,10.1,200,1544,6.6,180,1546,3.6,3120,160,-1.6,56,1156,77.9,5.6,1019.5,1032,5,1026.1,1502,1028.5,9.6,2.5,1100,1.22,4.19,,,,,,9.1,7.1,-.1,-5.5,.7,1,1.5,2.4,4.3,7,9.8,14,16.1,,.3,1.5,{진눈깨비}1538-{비}1622-{진눈깨비}1730-{진눈깨비}{강도0}1800-{비}1825-{비}{강도0}2100-2220. {비}2240-2350. {박무}1830-{박무}{강도1}2100-{박무}{강도1}2400-,
112,인천,2015-12-31,1.5,.3,2354,3.6,1428,,,,,,,6.8,340,720,5,340,727,2.5,2186,360,-.3,72,1329,88,6,1022.2,1033.7,2309,1027,1,1031.2,9.6,7.7,1200,1.38,7.19,,,,,,3.8,3.8,1,-7.8,1.4,1.4,1.7,2.5,4.1,6.8,9.6,13.9,16.1,,.9,,-{박무}-{박무}{강도1}0300-{박무}{강도0}0600-{박무}{강도0}0900-{박무}{강도0}1200-{박무}{강도0}1500-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도0}2400-,
114,원주,2015-12-27,-1.9,-5.3,2355,1.3,5,,,,,,,4.7,230,1343,2.3,290,1405,1.1,986,230,-14.4,18,1402,39.6,2.1,1010.3,1032.6,2303,1024.1,6,1029.3,9.6,8.7,1200,1.88,10.83,,,,,,,,-.5,-11.8,,,,,,,,,,,,,,
114,원주,2015-12-28,-4.7,-8.3,746,.1,1556,,,,,,,7.7,270,1525,3.4,250,1526,.9,767,250,-16.5,14,1558,42.8,1.7,1013.7,1034.5,2318,1031.3,1442,1033,9.6,8.7,1200,1.89,10.77,,,,,,,,-2.2,-14.5,,,,,,,,,,,,,,
114,원주,2015-12-29,-4.6,-10.1,631,1.3,1510,,,,,,,2.5,360,2147,1.4,20,1222,.6,504,50,-13.1,25,1446,53.5,2.2,1014.6,1036,844,1032,1610,1033.9,9.6,7.6,1200,1.5,8.64,,,,,,,,-2.5,-15,,,,,,,,,,,,,,
114,원주,2015-12-30,-1,-7.4,703,5.7,1540,,,,,,.9,3.9,20,1414,1.9,20,1419,.5,457,250,-6.6,40,1508,68.3,3.9,1010.7,1033.2,306,1026.4,1708,1029.6,9.6,8.2,1200,1.74,9.58,,,,,,,,-1.5,-12.3,,,,,,,,,,,,,,
114,원주,2015-12-31,1.6,-1,2358,4.2,1525,,,,,,0,3.9,250,1619,2.2,250,1627,.7,562,230,-1.1,65,1622,83,5.7,1011.6,1033.8,2314,1026.5,111,1030.4,9.6,.2,1200,.65,3.58,,,,,,,,-.1,-8.7,,,,,,,,,,,,,,
115,울릉도,2015-12-27,-1.9,-2.8,706,1.5,1,24,,,,,6.6,14.2,250,239,9.5,140,232,6.5,5621,340,-4.6,71,1446,81.3,4.4,998.8,1029.1,1834,1021.6,3,1027.1,9.6,1,,,,5.5,1959,5.5,1959,6.5,8.8,8.8,.3,-2.8,4.1,4.9,5.5,5.8,5.7,9.1,11.7,14.9,14.9,,.3,2,-{소낙눈}-{싸락눈}0030-{소낙눈}0055-{시정(미만)}{1km}{소낙눈}0130-{소낙눈}{강도1}0300-{시정(이상)}{1km}{소낙눈}0330-{소낙눈}{강도0}0600-{소낙눈}{강도0}0900-{소낙눈}{강도0}1200-{소낙눈}{강도0}1500-{소낙눈}{강도0}1800-{소낙눈}{강도0}2100-{소낙눈}{강도0}2400-,
115,울릉도,2015-12-28,.6,-1.2,1,3.3,1302,5.42,,,,,.5,9.8,50,2038,4.3,270,1348,2.1,1849,340,-7.6,36,2305,55,3.5,999,1029,2301,1025.1,1346,1027,9.6,7.7,,,,.5,420,5.8,420,.5,6.8,6.8,.4,-1.8,3.6,4.3,4.8,5.3,5.3,9.1,11.7,15,15,,2.1,,-{소낙눈}-0250. {소낙눈}0340-{시정(미만)}{1km}{소낙눈}0410-{시정(이상)}{1km}{소낙눈}0435-{소낙눈}{강도0}0600-0615.,
115,울릉도,2015-12-29,1.9,-.8,729,5.6,1404,,,,,,,8.3,90,1055,4.7,50,1055,1.5,1309,270,-8.9,36,2212,44.5,3.1,1001.5,1030.4,913,1027.9,1355,1029.4,9.6,7.9,,,,,,1,1,,4.1,1.9,.8,-4.3,3.2,3.9,4.4,4.9,4.9,9,11.8,15.1,15.2,,1,,,
115,울릉도,2015-12-30,3.6,1.5,423,7.4,1401,,,,,,,5.5,90,2254,3.1,70,2145,1.5,1288,70,-4.4,38,8,56.1,4.5,1000.5,1030.2,752,1025.9,2354,1028.2,9.6,6,,,,,,,,,6,6,1.9,-2,3,3.5,4,4.4,4.5,8.7,11.7,15,15.1,,.7,.9,,
